county,zev_sale_share_Q1_2022,zev_sale_share_Q1_Q2_2022,zev_sale_share_Q1_Q3_2022,zev_sale_share_Q1_Q4_2022
Alameda,0.2888389690234098,0.286781272182957,0.298400233908358,0.3117283950617284
Alpine,0.08333333333333333,0.107142857142857,0.116279069767441,0.16326530612244897
Amador,0.0707395498392283,0.0775862068965517,0.0889929742388758,0.08553230209281165
Butte,0.06871727748691099,0.0698852126941255,0.0780243378668575,0.08324165749908324
Calaveras,0.08936170212765958,0.0917225950782997,0.0858505564387917,0.08421052631578947
Colusa,0.012195121951219513,0.0405797101449275,0.040650406504065,0.043154761904761904
Contra Costa,0.2241554185846922,0.226815823605706,0.242482546314111,0.2601498409509459
Del Norte,0.03076923076923077,0.032,0.0277008310249307,0.029978586723768737
El Dorado,0.1419047619047619,0.155495317890586,0.16472602739726,0.17635297254065582
Fresno,0.08909743946240296,0.0967838533868359,0.100041220115416,0.10528176937666762
Glenn,0.039473684210526314,0.0321888412017167,0.0352941176470588,0.034523809523809526
Humboldt,0.08242424242424243,0.0912596401028277,0.104390681003584,0.11189993238674781
Imperial,0.025110782865583457,0.0266875981161695,0.0310991957104557,0.031681905166914735
Inyo,0.04712041884816754,0.0489296636085626,0.0606060606060606,0.0730593607305936
Kern,0.0589159465828751,0.061397519062251,0.0669903292744998,0.07056593389794234
Kings,0.045307443365695796,0.0541427399507793,0.0553370786516853,0.05644090305444887
Lake,0.07106598984771574,0.0574412532637075,0.0693160813308687,0.07420749279538905
Lassen,0.0,0.0154798761609907,0.020703933747412,0.025041736227045076
Los Angeles,0.15365433540175708,0.161245552126858,0.176258789714109,0.19029531519827628
Madera,0.054427294882209584,0.0701091519731318,0.0711610486891385,0.07790749887741356
Marin,0.2900266350991418,0.296762313948135,0.322134807569636,0.33738974191440707
Mariposa,0.03508771929824561,0.0600858369098712,0.0662650602409638,0.08656036446469248
Mendocino,0.07600596125186289,0.0826833073322932,0.088519313304721,0.09688289806234204
Merced,0.06693108577094695,0.0756756756756756,0.07576571735626,0.08101230029690372
Modoc,0.0,0.0,0.0,0.006329113924050633
Mono,0.05309734513274336,0.0826086956521739,0.075,0.09482758620689655
Monterey,0.12282734646581692,0.120743034055727,0.126850740296118,0.13568500038678735
Napa,0.18593314763231197,0.191535935789857,0.204202719406674,0.21313342190168913
Nevada,0.1251548946716233,0.1360103626943,0.145979020979021,0.15918097754293262
Orange,0.21655155798265338,0.212697553920905,0.22482535658589,0.23643090764867597
Out Of State,0.03691961546328493,0.0366496826673817,0.0379718088086117,0.03888444151440949
Placer,0.16707202993451825,0.176010939636647,0.190511440107671,0.198658756770699
Plumas,0.06569343065693431,0.0492424242424242,0.046195652173913,0.04946236559139785
Riverside,0.11849380656720106,0.11846402638171,0.12622929323834,0.13177365037248698
Sacramento,0.1335634985106959,0.142116219172282,0.152793839037472,0.17379984035881257
San Benito,0.1572052401746725,0.153681200857755,0.165853658536585,0.16698148847752173
San Bernardino,0.10571439084519998,0.106575151320875,0.115676432823625,0.12366116859955464
San Diego,0.156630142074473,0.161988276223609,0.177647889405158,0.18846366953896712
San Francisco,0.2588950705136499,0.265591766723842,0.263670647391577,0.2814294610115547
San Joaquin,0.13469966486207785,0.139320979304747,0.14390555201021,0.15756236185664668
San Luis Obispo,0.1358964598401218,0.153119464672308,0.160043254933765,0.17214124409772122
San Mateo,0.33753967054556444,0.300927381326626,0.324537316711516,0.3322126092170636
Santa Barbara,0.1309244486156734,0.130194571222675,0.145496535796766,0.15703844931680966
Santa Clara,0.3136856966381364,0.307699130743303,0.326824483973072,0.34044324445944424
Santa Cruz,0.1810918774966711,0.188454198473282,0.198546415592996,0.21487393893323198
Shasta,0.06929434202161475,0.0687479242776486,0.0755745084103293,0.07744169096209913
Sierra,0.0,0.0476190476190476,0.078125,0.05952380952380952
Siskiyou,0.026217228464419477,0.0429338103756708,0.0551378446115288,0.06091846298031865
Solano,0.125,0.134825014343086,0.148575521247811,0.15441985572808412
Sonoma,0.16444726273515112,0.15944710491946,0.17074804614812,0.18437605301583737
Stanislaus,0.07816326530612244,0.0860004354452427,0.0883961345419132,0.09343271318739363
Sutter,0.06720977596741344,0.0818231740801757,0.0855435188644004,0.0898379970544919
Tehama,0.030732860520094562,0.0402010050251256,0.0419213973799126,0.051921780175320294
Trinity,0.06451612903225806,0.0564516129032258,0.0558659217877094,0.05217391304347826
Tulare,0.04628687690742624,0.0508676645913366,0.054165144318597,0.05790342254430652
Tuolumne,0.0625,0.074074074074074,0.0805767599660729,0.08577127659574468
Ventura,0.17277184886068647,0.179255529225908,0.191192082462929,0.19761854472489176
Yolo,0.1621770203408466,0.169164265129683,0.17669978570037,0.18453349105426586
Yuba,0.07424242424242425,0.0715900527505651,0.0811827956989247,0.0903691132795927
